Aditya G. Parameswaran,Stanford University
Alberto L. Sangiovanni-Vincentelli,Stanford University
Alessandro Chiesa,Stanford University
Alexandre M. Bayen,Stanford University
Alexei A. Efros,Stanford University
Ali Javey,Stanford University
Ali M. Niknejad,Stanford University
Ali Niknejad,Stanford University
Alistair Sinclair,Stanford University
Alvin Cheung,Stanford University
Alyosha A. Efros,Stanford University
Ana Claudia Arias,Stanford University
Anant Sahai,Stanford University
Anca D. Dragan,Stanford University
Anthony D. Joseph,Stanford University
Armando Fox,Stanford University
Avideh Zakhor,Stanford University
Bala Kameshwar Poolla,Stanford University
Ben Recht,Stanford University
Benjamin Recht,Stanford University
Bernd Sturmfels,Stanford University
Bernhard E. Boser,Stanford University
Bin Yu 0001,Stanford University
Bjoern Hartmann,Stanford University
Björn Hartmann,Stanford University
Borivoje Nikolic,Stanford University
Brian A. Barsky,Stanford University
Chang Ming Wu,Stanford University
Chunlei Liu,Stanford University
Claire J. Tomlin,Stanford University
Claire Jennifer Tomlin,Stanford University
Claire Tomlin,Stanford University
Clark T.-C. Nguyen,Stanford University
Constance J. Chang-Hasnain,Stanford University
Costas J. Spanos,Stanford University
David A. Wagner 0001,Stanford University
David Bamman,Stanford University
David Culler,Stanford University
David E. Culler,Stanford University
Edward A. Lee,Stanford University
Elad Alon,Stanford University
Eli Yablonovitch,Stanford University
Eric A. Brewer,Stanford University
Eric Paulos,Stanford University
George C. Necula,Stanford University
Hany Farid,Stanford University
Ion Stoica,Stanford University
J. D. Tygar,Stanford University
J. Doug Tygar,Stanford University
Jaijeet Roychowdhury,Stanford University
Jaijeet S. Roychowdhury,Stanford University
James Demmel,Stanford University
James F. O'Brien,Stanford University
James Weldon Demmel,Stanford University
Jan M. Rabaey,Stanford University
Jean C. Walrand,Stanford University
Jeffrey Bokor,Stanford University
Jelani Nelson,Stanford University
Jennifer Listgarten,Stanford University
Jim Demmel,Stanford University
John Canny,Stanford University
John D. Kubiatowicz,Stanford University
John F. Canny,Stanford University
John Kubiatowicz,Stanford University
John Wawrzynek,Stanford University
Jonathan Ragan-Kelley,Stanford University
Jonathan Richard Shewchuk,Stanford University
Jose M. Carmena,Stanford University
Joseph E. Gonzalez,Stanford University
Joseph Gonzalez,Stanford University
Joseph M. Hellerstein,Stanford University
Kannan Ramchandran,Stanford University
Katherine A. Yelick,Stanford University
Kathy Yelick,Stanford University
Ken Goldberg,Stanford University
Kenneth Y. Goldberg,Stanford University
Koushik Sen,Stanford University
Kris Pister,Stanford University
Kristofer S. J. Pister,Stanford University
Krste Asanovic,Stanford University
Kurt Keutzer,Stanford University
Laura Waller,Stanford University
Laurent El Ghaoui,Stanford University
Luca Trevisan,Stanford University
Luke J. Lee,Stanford University
Marti A. Hearst,Stanford University
Martin J. Wainwright,Stanford University
Michael I. Jordan,Stanford University
Michael Lustig,Stanford University
Michel M. Maharbiz,Stanford University
Moritz Hardt,Stanford University
Murat Arcak,Stanford University
Nilah Ioannidis,Stanford University
Nir Yosef,Stanford University
Peter Bartlett,Stanford University
Peter L. Bartlett,Stanford University
Pieter Abbeel,Stanford University
Prabal Dutta,Stanford University
Prabal K. Dutta,Stanford University
Prasad Raghavendra,Stanford University
Raluca A. Popa,Stanford University
Raluca Ada Popa,Stanford University
Randy H. Katz,Stanford University
Randy Howard Katz,Stanford University
Ren Ng,Stanford University
Richard M. Karp,Stanford University
Rikky Muller,Stanford University
Robert J. Full,Stanford University
Ronald S. Fearing,Stanford University
Ruzena Bajcsy,Stanford University
S. Shankar Sastry,Stanford University
Sanjam Garg,Stanford University
Sanjit A. Seshia,Stanford University
Satish Rao,Stanford University
Sayeef Salahuddin,Stanford University
Scott Shenker,Stanford University
Sergey Levine,Stanford University
Seth R. Sanders,Stanford University
Seth Sanders,Stanford University
Shafi Goldwasser,Stanford University
Shankar S. Sastry,Stanford University
Shankar Sastry,Stanford University
Steven M. Conolly,Stanford University
Stuart J. Russell,Stanford University
Stuart Russell,Stanford University
Sylvia Ratnasamy,Stanford University
Thomas Courtade,Stanford University
Trevor Darrell,Stanford University
Tsu-Jae King Liu,Stanford University
Umesh V. Vazirani,Stanford University
Venkat Anantharam,Stanford University
Venkatachalam Anantharam,Stanford University
Vern Paxson,Stanford University
Vivek Subramanian,Stanford University
Vladimir Marko Stojanovic,Stanford University
Vladimir Stojanovic,Stanford University
Yun S. Song,Stanford University
